	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC725798	175.77111136075	-3.47542786321582	0.561552055381595	38.0495825697206	6.89694653133973e-10	4.60132619543036e-09
LOC725803	1171.44131253	-6.2113256571845	0.794902566980703	49.5197860705887	1.96381101238496e-12	1.7919020176085e-11
LOC725813	891.086171752296	-2.04511394564531	0.471496529274043	19.5254989862795	9.92657394695403e-06	3.6331076877127e-05
LOC725814	60.7843294260634	-2.84759245678962	0.638596620569207	19.8769788670319	8.25888961420934e-06	3.06529876732638e-05
LOC725818	1377.25310050518	5.23629957357999	0.50133277463924	65.4673333543685	5.90852714096601e-16	7.94636609366653e-15
LOC725821	4923.95858154805	-5.28269725989543	0.428809250901093	131.10217406185	2.35184126620924e-30	1.01815843429832e-28
LOC725838	196.089641283142	4.46236298225786	0.601729769017082	37.0398144638858	1.15741599387172e-09	7.50643440093292e-09
LOC725841	2963.08422249896	-5.17816204728285	0.515883448913251	87.8299819031689	7.13294916530305e-21	1.46639589252729e-19
LOC725859	1582.82531465711	-2.08345819461495	0.263998917373926	64.594840481075	9.19959409922011e-16	1.21520696219319e-14
LOC725864	7698.59346644531	-2.74501835966379	0.34414958279085	64.5809193424026	9.26482153316131e-16	1.22246176892502e-14
LOC725876	59.7735381343136	-3.76737066837329	1.12123490225416	11.1039246321449	0.000861452253219122	0.00222190620301918
LOC725878	5735.59461574135	2.69452654775346	0.284265569133012	70.2669722060075	5.17977046533354e-17	7.76769118328526e-16
LOC725879	63.9642354304432	-2.39807990925537	0.704241060982032	11.7004105147676	0.000624863106891542	0.00165449244954185
LOC725882	469.691254924168	2.42605856352824	0.410641031126443	28.3380191978571	1.01875358219533e-07	5.07110994209024e-07
LOC725885	7615.86107119038	2.18528853939452	0.261475516590703	57.7227739778957	3.01788408037105e-14	3.43222828009218e-13
LOC725892	213.740436261636	2.7569306787214	0.723606848359917	11.3598631177235	0.000750483553310275	0.00195524619138293
LOC725893	41894.4121929341	3.01885346846711	0.510611976717116	26.3050157487171	2.91530569060019e-07	1.35933003545202e-06
LOC725900	1024.95018979525	3.33724121575094	0.38303511287743	55.6788009451362	8.53335373640887e-14	9.17703010165748e-13
LOC725908	746.701047188196	-2.29580178556534	0.406041982205911	32.9837879065291	9.29305712296871e-09	5.33563618551088e-08
LOC725920	53447.9476064772	-5.26900749221933	0.451068395365737	117.395385759991	2.3518340316276e-27	8.01651013884098e-26
LOC725924	615.745678841238	-4.07654246606587	0.278060902515897	206.997054886298	6.20933811850304e-47	7.29259096650328e-45
LOC725925	28090.5475646778	-5.34831504301248	0.365041383751974	183.76523795559	7.30065766937299e-42	6.46271651299272e-40
LOC725926	11269.100513752	2.68346668716527	0.455288128682418	27.1554228162911	1.87737857848028e-07	9.00868313023181e-07
LOC725928	23308.8364771559	2.06497170458963	0.458432360414186	16.9673829230812	3.80275315982335e-05	0.000125474987432057
LOC725935	592.964816902003	-2.07464861983794	0.721790291456479	8.57542521339739	0.00340730375832991	0.00772504533281908
LOC725936	56840.0948433156	3.29251721975683	0.611412531918433	21.1562965707718	4.23308165854419e-06	1.64416550863298e-05
LOC725949	2034.49837695507	2.03266369338055	0.277882839909679	45.0522324451942	1.91848427214799e-11	1.54494639757091e-10
LOC725960	21459.2404944659	5.24697388506876	0.619582854123391	42.1140405035749	8.61027606007101e-11	6.44792264043954e-10
LOC725963	1316.2891080697	-3.34602830969256	0.604770673784187	30.201540631395	3.89400020683446e-08	2.04745702364673e-07
LOC725966	57.1404327772699	-3.93293755953688	0.893347071637972	18.9408424109302	1.34834924605618e-05	4.81750564961398e-05
LOC725976	5173.63885254665	-4.14939431150874	0.344095704841619	136.394436400183	1.63583100799579e-31	7.75760690992752e-30
LOC725978	2149.44677113448	3.11183603954908	0.464356512608844	33.5365430966926	6.993757183879e-09	4.08066639031838e-08
LOC726016	185.215971724668	-2.53090317897797	0.855166902332876	8.95910865453581	0.00276089563394821	0.00635054178977966
LOC726017	5457.6368994372	3.34605871850646	0.258162851080932	122.375897522801	1.90996095686449e-28	7.01422813322803e-27
LOC726027	1783.90737194942	-2.97858541263149	0.262760124011752	129.62798992683	4.94244987033399e-30	2.10133836422587e-28
