ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
21611	467,883,1312,747	0,0,0,0	853,1583,1439,1771,1877	3,0,0,0,2	500	149
21612	398,799,1193,632	0,0,0,0	743,1525,1208,1719,1483	0,0,0,4,2	419	149
21613	395,796,1183,630	0,0,0,0	746,1530,1207,1726,1479	3,0,0,0,2	419	149
21614	523,994,1549,915	0,0,0,0	1066,1993,1622,2343,1999	0,14,0,0,6	419	149
21615	229,329,692,322	0,0,0,0	382,890,666,1071,843	0,0,0,4,2	423	149
21616	226,326,682,320	0,0,0,0	385,895,665,1078,839	3,0,0,0,2	423	149
21617	354,524,1048,605	0,0,0,0	705,1358,1080,1695,1359	0,14,0,0,6	423	149
21618	262,601,703,525	6,9,16,3	567,1155,850,1261,1259	20,23,13,44,32	262	149
21619	143,349,389,320	6,9,16,3	297,555,474,649,622	20,23,13,44,32	258	149
21620	320,394,223,624	0,0,0,2	63,65,49,77,48	0,0,0,0,0	275	149
21621	6209,11963,13656,8793	0,0,0,0	10228,12415,12786,17719,12972	0,10,0,0,0	479	149
21622	5919,12889,13894,9610	0,0,0,0	7856,11134,10678,15710,10752	0,0,0,3,0	594	149
21623	475,941,919,853	0,2,5,0	687,1456,1089,1539,1344	0,0,0,0,0	254	149
21624	726,1197,1652,1550	0,0,0,0	580,1022,646,954,805	0,1,0,0,0	304	149
21625	183,626,740,533	0,0,0,0	162,257,309,395,309	0,0,0,1,0	785	149
21626	4113,6018,653,3168	0,0,0,0	2435,2740,3514,4688,2704	0,0,0,0,10	332	149
21627	1622,3400,2492,3138	0,0,0,0	3467,5160,5334,5929,5296	2,2,0,0,8	269	149
21628	627,1149,794,1296	0,0,2,0	1571,1890,2062,2659,2094	0,0,0,8,0	308	149
21629	13,46,80,30	24,52,8,40	122,147,129,241,153	30,104,95,91,89	326	149
21630	637,1249,998,1007	24,52,8,40	1521,2059,1823,2711,2131	30,104,95,91,89	420	149
21631	246,405,147,530	0,0,0,0	405,941,577,879,1167	0,3,0,0,1	251	149
21632	72,116,65,139	0,0,0,0	166,295,318,398,455	0,0,0,2,0	314	149
21633	56,128,40,136	0,0,0,0	130,228,211,316,280	4,0,0,4,0	317	149
21634	105,174,109,268	0,0,0,0	293,430,420,631,418	4,0,0,4,0	363	149
21635	1047,2106,1652,2110	0,0,0,0	1574,2368,2343,3204,3016	0,0,0,1,1	1107	149
21636	25,21,7,8	12,73,38,67	8,16,9,34,16	61,96,94,131,131	176	149
21637	6,19,29,22	0,0,4,0	27,58,54,69,51	0,0,0,0,0	191	149
21638	119,263,105,190	0,0,12,0	184,253,268,417,354	19,17,7,34,13	314	149
21639	110,219,93,161	2,7,15,2	115,192,196,256,250	5,29,24,26,16	314	149
21640	25,20,18,21	2,7,15,2	37,46,40,67,32	5,29,24,26,16	182	149
21641	54,81,31,69	21,21,13,23	100,95,108,205,121	16,9,14,17,5	182	149
21642	113,168,154,245	0,0,0,0	250,249,305,422,394	0,0,2,0,0	317	149
21643	126,279,143,228	0,0,0,0	223,394,391,596,457	2,1,6,0,6	347	149
21644	51,135,154,192	59,138,170,122	139,116,111,99,122	117,238,190,222,223	214	149
21645	138,284,248,246	76,170,201,119	213,362,254,362,324	218,212,246,282,189	170	149
21646	180,413,282,354	4,30,33,27	274,289,238,327,283	30,70,26,79,30	191	149
21647	174,384,322,392	0,2,11,0	278,367,255,378,374	0,0,0,0,0	200	149
21648	2,0,4,16	0,0,0,0	27,83,50,16,41	0,0,2,0,0	527	149
21649	2,34,20,2	0,17,74,3	10,13,30,16,10	12,32,18,4,20	862	149
21651	14,24,112,4	0,2,12,0	15,53,32,18,18	0,6,20,5,0	227	149
21652	8,15,29,16	0,2,12,0	2,11,34,8,16	0,6,20,5,0	260	149
21653	8,18,54,26	14,28,97,6	15,25,54,10,22	13,47,30,19,15	260	149
21654	0,18,94,17	0,0,2,0	2,14,8,2,2	0,2,0,0,1	278	149
21656	0,6,12,7	31,37,29,81	2,2,7,6,3	40,120,74,152,76	240	149
21657	336,654,356,794	0,0,0,0	1221,1828,1543,2203,1766	0,4,0,0,3	413	149
21658	388,593,325,820	0,0,0,0	908,1393,1249,1918,1399	0,0,0,2,0	346	149
21659	143,277,152,424	0,0,0,0	487,690,701,956,881	7,6,15,14,0	346	149
21660	234,569,232,735	0,0,0,0	744,1124,1103,1689,1092	7,6,15,14,0	406	149
21661	479,885,405,1131	0,0,0,0	1175,1839,1653,2654,1629	10,12,2,5,19	406	149
21662	242,501,252,784	0,0,1,0	673,1118,946,1603,960	0,0,0,0,0	367	149
21663	539,789,568,1088	0,0,0,0	1007,1694,1436,2437,1570	0,8,0,0,0	352	149
21664	186,403,280,491	0,0,1,0	592,1152,837,1402,1052	0,0,0,0,0	220	149
21665	330,711,347,818	0,0,1,0	991,1576,1356,2003,1497	0,10,0,0,0	365	149
21666	36,44,34,86	0,0,0,0	239,274,366,479,326	0,0,0,1,0	285	149
21667	180,305,122,338	0,0,0,3	387,622,555,787,665	0,0,0,0,2	285	149
21668	696,1142,776,1318	0,2,0,0	1309,2392,2032,3082,2179	1,0,0,0,0	311	149
21669	50,64,10,107	237,476,268,533	105,230,139,271,151	625,884,711,1154,895	226	149
21670	154,330,350,328	0,0,0,0	304,421,471,698,588	0,0,0,0,4	360	149
21671	337,638,696,588	0,0,0,0	538,738,782,1144,913	0,0,0,1,2	360	149
21672	275,506,647,418	0,0,0,0	275,408,390,538,424	0,0,12,0,0	341	149
21673	205,431,411,394	0,0,0,0	365,485,511,771,646	0,0,12,0,0	281	149
21674	0,2,27,11	0,0,0,2	4,0,0,0,2	0,0,0,0,0	313	149
21675	0,2,28,11	99,122,113,110	4,2,10,0,3	147,191,210,219,229	313	149
21676	0,2,31,2	99,122,113,110	0,1,0,6,6	147,191,210,219,229	244	149
21677	0,2,46,0	0,0,16,0	0,1,0,6,7	0,2,10,0,2	244	149
21678	3175,6418,11462,5426	0,0,28,0	4644,5646,5381,6766,5612	0,0,0,0,0	292	149
21679	406,809,739,691	0,0,2,0	372,453,511,571,424	0,0,5,0,4	197	149
21680	1403,2428,2134,2248	0,0,2,0	1178,1607,1622,2274,1670	0,0,5,0,4	200	149
21681	326,2840,1035,2904	0,0,0,0	3791,3524,1458,2056,1850	8,0,0,0,0	256	149
21682	140,445,555,342	175,302,738,361	219,237,283,289,242	250,297,474,490,346	203	149
21683	22074,42600,10915,24781	1,0,0,0	2540,85,124,111,131	0,0,0,0,0	323	149
21684	11055,23363,5104,11993	0,0,0,2	1444,34,62,57,91	0,0,0,0,0	323	149
21685	12685,20388,5201,10369	0,0,0,2	927,16,72,87,71	0,0,0,0,0	256	149
21686	23609,39476,10945,23088	0,4,0,0	2020,67,136,141,111	0,0,2,0,0	256	149
21687	12501,21050,6512,11431	0,0,2,0	969,12,133,53,75	0,0,0,0,0	251	149
21688	438746,644236,62166,486322	27,59,47,67	1372,159,228,158,243	1,0,2,0,0	273	149
21689	14570,31596,2735,22143	322,193,1673,277	76,12,12,8,14	4,0,3,0,6	273	149
21690	14562,31560,2731,22137	2,8,6,1	76,12,12,8,14	0,0,2,0,0	273	149
21691	322411,521623,48578,362718	0,0,6,0	1385,158,259,157,277	0,0,0,0,0	307	149
21692	322430,521682,48625,362785	322,193,1673,277	1386,158,261,157,277	4,0,3,0,6	307	149
21693	49030,97072,7125,61806	2,8,6,1	284,27,50,35,30	0,0,2,0,0	307	149
21694	749763,1140686,108591,831644	8,36,6,8	2707,307,484,312,504	0,0,0,0,0	307	149
21695	476363,716076,67091,530665	0,0,2,2	1605,176,273,190,257	0,0,0,0,0	307	149
21696	74756,132048,14686,90529	2,8,6,1	408,42,116,60,73	0,0,2,0,0	323	149
21697	74442,131891,13019,90262	0,0,2,2	404,42,113,60,67	0,0,0,0,0	323	149
21698	577383,901065,98374,646600	1,0,0,1	2477,285,472,298,486	0,0,0,0,0	323	149
21699	347810,556424,54510,391224	2,0,0,0	1506,173,324,182,314	0,0,0,0,0	323	149
21700	115398,176049,21651,126089	2,0,0,0	448,76,64,36,61	0,0,0,0,0	256	149
21701	338021,510993,64395,373806	104,267,56,212	1398,175,210,150,228	0,0,0,0,2	256	149
21702	173,315,227,186	0,2,1,0	131,132,240,155,132	0,0,0,0,0	244	149
21703	31,63,30,43	30,8,79,13	41,31,92,47,37	12,4,6,6,8	276	149
21704	146,247,93,98	40,72,270,26	40,70,55,57,65	7,2,32,18,43	276	149
21705	378,610,536,270	0,0,0,0	400,410,687,556,549	0,0,2,0,0	277	149
21706	469,748,575,295	0,0,0,0	355,405,593,534,506	0,0,2,0,0	264	149
21707	1069,4043,1893,4746	4,4,11,13	1778,2623,2007,3249,2083	9,8,3,21,0	346	149
21708	441,1414,783,1635	0,0,0,0	694,1052,801,1393,701	0,0,10,0,0	284	149
21709	0,6,23,2	14,35,29,29	2,8,4,12,8	29,32,33,53,40	984	149
21710	167,433,817,500	0,0,0,0	396,525,480,563,512	0,2,0,11,0	275	149
21711	809,1380,587,1819	0,0,0,0	1302,1960,1598,2235,1857	1,0,0,3,0	418	149
21712	809,1380,587,1819	0,0,0,0	1302,1960,1594,2227,1855	0,2,0,4,0	418	149
21713	551,989,250,1152	0,0,0,0	733,1182,1085,1553,1420	2,0,4,8,2	269	149
21714	306,536,142,669	0,0,0,0	419,647,576,854,803	2,0,0,0,0	269	149
21715	306,535,142,669	0,0,0,0	407,644,590,857,806	2,0,0,0,0	269	149
21716	306,544,146,671	0,0,0,0	423,650,608,880,823	0,0,0,0,1	269	149
21717	140,312,82,379	0,0,0,0	132,333,224,396,303	5,1,0,0,0	359	149
21718	115,310,82,373	0,0,0,0	131,326,225,390,303	0,2,0,4,0	359	149
21719	116,310,82,373	0,0,0,0	131,326,224,388,303	0,2,2,2,0	359	149
